Song,Artists,Lyrics,Joy,Trust,Fear,Surprise,Sadness,Disgust,Anger,Anticipation,
Sun Is Shining,"Axwell, Ingrosso ","A simple band of gold
Wrapped around my soul
Hard forgiving, hard forget
Faith is in our hands
Castles made of sand
No more guessing, no regrets
And you came my way on a winner's day
Shouted loudly come out and play
Can't you tell I got news for you
Sun is shining and so are you
And we're gonna be alright
Dry your tears and hold tight
Can't you tell I got news for you
Sun is shining and so are you
And we're gonna be alright
Dry your tears and hold tight
Can't you tell I got news for you
Sun is shining and so are you
And we're gonna be alright
Dry your tears and hold tight
Can't you tell I got news for you
Sun is shining and so are you
Diamonds to behold, waiting to unfold
Bite the bullet, bite your tongue
Love beyond belief
Raid the seven seas
Come uneven, come undone
And you came my way on a winner's day
Shouted loudly come out and play
Can't you tell I got news for you
Sun is shining and so are you
And we're gonna be alright
Dry your tears and hold tight
Can't you tell I got news for you
Sun is shining and so are you
Sun is shining and so are you
Sun is shining and so are you
Sun is shining and so are you
Sun is shining and so are you
Sun is shining and so are you
Sun is shining and so are you
Can't you tell I got news for you
Sun is shining and so are you
And we're gonna be alright
Dry your tears and hold tight
Can't you tell I got news for you
Sun is shining and so are you
Sun is shining and so are you
Sun is shining and so are you
Sun is shining and so are you
Sun is shining and so are you
Sun is shining and so are you
Sun is shining and so are you",1,1,0,0,0,0,0,0,
Renegades (Remix),"X Ambassadors, Astrolith","Run away with me
Lost souls and reverie
Running wild and running free
Two kids, you and me
And I say
Hey, hey hey hey
Living like we're renegades
Hey hey hey
Hey hey hey
Living like we're renegades
Renegades, renegades
Long live the pioneers
Rebels and mutineers
Go forth and have no fear
Come close the end is near
And I say hey, hey hey hey
Living like we're renegades
Hey hey hey
Hey hey hey
Living like we're renegades
Renegades, renegades
All hail the underdogs
All hail the new kids
All hail the outlaws
Spielberg's and Kubrick's
It's our time to make a move
It's our time to make amends
It's our time to break the rules
Let's begin
And I say hey, hey hey hey
Living like we're renegades
Hey hey hey
Hey hey hey
Leaving like we're renegades
Renegades, renegades",0,1,0,0,0,0,0,1,
Saving My Life,"Gorgon City, ROMANS","Saved my life, woah
Do you feel like a teardrop in the ocean?
Can you feel the dark force in the air?
Is it hard when you get up, and get back in the moment?
And you're not moving anywhere
Do they tell you ""dream small and surrender
To what is easy and in the front of your face""?
If you're scared, you only doubt and you're never getting out
Then this is what you gotta say
I'm saving
Saving my life
Saving my life
Saving my life
Saving my life
Saving my life
Saving my life
Saving my life
Saving my life
Saving my life
Saving my life
Saving my life
I'm saving
Saving my life
Saving my life
Saving my life
Saving my life
Saving my life
Saving my life
Saving
Saving my life
Saving my life
Saving my life
Saving my life
Saving my life
Saving my life
Are you stuck in a rat race that you won't win?
Are you scared that you'll never wake up?
Will they make you punch in, when you're there in the morning
And punch out when they've had enough?
Well, there's a life and it's out there for the taking
You can run and you can leave this behind
Tell you, it's a trap and they caught you in the act
Ain't nothing but a state of mind
I'm saving
Saving my life
Saving my life
Saving my life
Saving my life
Saving my life
Saving my life
Saving
Saving my life
Saving my life
Saving my life
Saving my life
Saving my life
Saving my life
I'm saving
Saving my life
Saving my life
Saving my life
Saving my life
Saving my life
Saving my life
Saving
Saving my life
Saving my life
Saving my life
Saving my life
Saving my life
Saving my life
Save all of your timing
Save all you've been hiding
Save all your energy, yeah
Save all you've been dreaming
Live life for some meaning
Save your destiny
Save your destiny, yeah
Oh, oh, ooh, oh, oh, ooh
Save your destiny
Save your destiny, yeah
Oh, oh, ooh, oh, oh, ooh
Save your destiny
Save your destiny, yeah
I'm saving
Saving my life
Saving my life
Saving my life
Saving my life
Saving my life
Saving my life
Saving
Saving my life
Saving my life
Saving my life
Saving my life
Saving my life
Saving my life
I'm saving
Saving my life
Saving my life
Saving my life
Saving my life
Saving my life
Saving my life
Saving
Saving my life
Saving my life
Saving my life
Saving my life
Saving my life
Saving my life
Saving",0,0,1,0,0,1,0,1,
Dessert (Remix) ,"Dawin, Silento","They can imitate you
But they can't duplicate you
'Cause you got something special
That makes me wanna taste you
I want it all day long
I'm addicted like it's wrong
I want it all day long
I'm addicted like it's wrong
They can imitate you
But they can't duplicate you
'Cause you got something special
That makes me wanna taste you
I want it all day long
I'm addicted like it's wrong
I want it all day long
I'm addicted like it's,
Whatcha gon'
Whatcha gon' do with that dessert
Murder that, murder that
Dancefloor, dancefloor
Murder that
Murder that
Murder that
Are you saving that dessert for me?
'Cause if you are baby
You know you could work for me
The way you do it causing jealousy
But you don't ever gotta worry about the enemy
They try to do it like you
And they get mad cause they don't do it successfully
They try to copy your moves
But they don't never ever do it that tastefully
They can imitate you
But they can't duplicate you
'Cause you got something special
That makes me wanna taste you
I want it all day long
I'm addicted like it's wrong
I want it all day long
I'm addicted like it's wrong
They can imitate you
But they can't duplicate you
'Cause you got something special
That makes me wanna taste you
I want it all day long
I'm addicted like it's wrong
I want it all day long
I'm addicted like it's,
Whatcha gon'
Whatcha gon' do with that dessert
Murder that, murder that
Dancefloor dancefloor
Whatcha gon'
Whatcha gon' do with that dessert
Murder that
Murder that
Murder that
Are you saving that dessert for me?The way your body movin' got me hesitating
I'm lookin' at you girl, yeah you so amazing
Kinda complicated, got me intricated (whaaa?)
When I watch you I feel the rhythm in my heart
When I see you girl, I knew it from the star
Movin' to the beat, I'm just tryin' to play my part
I'm addicted, I just can't miss this chance
To go ahead and get my dance
'Cause if you are baby
You know you could work for me
The way you do it causing jealousy
But you don't ever gotta worry about the enemy
They try to do it like you
And they get mad cause they don't do it successfully
They try to copy your moves
But they don't never ever do it that tastefully
They can imitate you
But they can't duplicate you
'Cause you got something special
That makes me wanna taste you
I want it all day long
I want it all day long
Whatcha gon'
Whatcha gon' do with that dessert",1,1,0,0,0,0,0,1,
Heroes (we could be),"Alesso, Tove Lo","We go hideaway in daylight
We go undercover when under sun
Got a secret side in plain sight
Where the streets are empty
That's where we run
Everyday people do
Everyday things but I
Can't be one of them
I know you hear me now
We are a different kind
We can do anything
We could be heroes
We could be heroes
Me and you
We could be heroes
We could be heroes
Me and you
We could be
We could be
We could be
Ooh ooh ooh
We could be
Ooh ooh ooh
Anybody's got the power
They don't see it
'Cause they don't understand
Spin around and round for hours
You and me we got the world in our hands
Everyday people do
Everyday things but I
Can't be one of them
I know you hear me now
We are a different kind
We can do anything
We could be heroes
We could be heroes
Me and you
We could be heroes
We could be heroes
Me and you
We could be
We could be
We could be
We could be
We could be
Ooh ooh ooh
We could be
Ooh ooh ooh
We could be
Ooh ooh ooh
We could be
Ooh ooh ooh
We could be
All we're looking for is love and a little light
Love and a little light
(We could be)
All we're looking for is love and a little light
Love and a little light
We could be heroes (Oh)
We could be heroes (Oh)
Me and you
We could be heroes (Oh)
We could be heroes (Oh)
Me and you
We could be (Ooh)
We could be (Ooh)
We could be (Ooh)
We could be (Ooh)
We could be",0,1,0,0,0,0,0,1,
Lights Go Down,"The Jane Doze, Curtains","Slow down
Don't move too fast but if you must
And you've hit the ground
I'll be there with both hands out
To pick you up
And even though you fucked up
I'll kiss your dirty mouth

Down, down, down, down, down
Down, down, down, down
Even when the lights go down
Down, down, down, down, down
Down, down, down, down
Even when the lights go
Even when the lights go
Even when the lights go

I'll kiss your dirty mouth
Even when the lights go down
Fast youth
Growing up so far away
That the thought escapes you
To hear it now
We stand with you as we roll about
Life bleeds a stain on you
And even though it's fucked up
Don't you ever try to rinse it out

Down, down, down, down, down
Down, down, down, down
Even when the lights go down
Down, down, down, down, down
Down, down, down, down
Even when the lights go
Down, down, down, down, down
Down, down, down, down
Even when the lights go down
Down, down, down, down, down
Down, down, down, down
Even when the lights go

Don't you worry about a thing
I'm watching you
Even when the lights go
Don't you worry about a thing
I've got you
Even when the lights go
Don't you worry about a thing
I've got you
Even when the lights go
Don't you worry about a thing
I've got you, I've got you
Even when the lights go

I'll kiss your dirty mouth
Even when the lights go down
Down, down, down, down, down
Down, down, down, down
Even when the lights go down
Down, down, down, down, down
Down, down, down, down
Even if the lights go down",0,1,0,0,0,0,0,0,
Secrets,"Tiesto, KSHMR, VASSY","Oh won't you stay for a while
I'll take you on a ride
If you can keep a secret
Oh won't you stay for a while
Show me darkness baby, show me demons
Oh won't you stay for a while
I'll take you on a ride
If you can keep a secret
Oh won't you stay for a while
Show me darkness baby, show me demons
Oh won't you stay for a while
Oh won't you stay for a while
I'll take you on a ride
If you can keep a secret
Stay a while, stay a while
And I will make it worth your while, worth your while
Stay awhile, stay awhile
And I'ma go the extra mile, extra mile
Boy, if you wait until the lights go down
I got some tricks that help you scream it out
So stay a while, stay a while
And I will make it worth your while, worth your while
Oh won't you stay for a while
Oh won't you stay for a while (stay for a while)
Oh won't you stay for a while
Oh won't you stay for a while (stay for a while)
Oh won't you stay for a while
I'll take you on a ride
If you can keep one secret",0,0,0,0,0,0,0,1,
Changes,"Faul & Wad Ad, PNAU","Baby, I don't know
Just why I love you so
Maybe it's just the way
That God made me this day
Baby, I don't know
Just why I love you so
Maybe it's just the way
That God made me this day
Honey, I hear you
And I feel for you
It won't be too long till
We're back as one again
Just love, just love, just love, and just love, and just love, and and again!)
Baby, I don't know
Just why I love you so
Maybe it's just the way
That God made me this day
Honey, I hear you
And I feel for you
It won't be too long till
We're back as one again",1,1,0,1,0,0,0,1,
Hit the Quan,iLoveMemphis,"Yo
Yo
Aye, I'm finna
Aye I'm finna
I'm finna show you how to
Hit the Quan
Hit the Quan
Hit the Quan
Hit the Quan
I said get down low and swing your arm
I said get down low and hit the Quan
I'm finna show you how to
Hit the Quan
Hit the Quan
Hit the Quan
Hit the Quan
I said get down low and swing your arm
I said get down low and hit the Quan
I paper chase then vanish
Hit the Quan note her make her boyfriend panic
I heart Memphis, but I also love dancing
I done took off on 'em, I don't plan on landing
I call shots just do it like Nike
No FaceTime but the people wanna Skype me
If I do time then who would really write me
I stay on y'all mind but oh I think they like me
Clean pair of sneaks, with ADs on her belt
Please watch your step 'cause I'm feeling myself
Throw a flag on the play, man somebody get the ref
Go blah da da da dol, man somebody get some help
Pulled up on the block
Hit the Quan
Hit the Quan
Hit the Quan
Hit the Quan
I said get down low and swing your arm
I said get down low and hit the Quan
I'm finna show you how to
Hit the Quan
Hit the Quan
Hit the Quan
Hit the Quan
I said get down low and swing your arm
I said get down low and hit the Quan
Pull Pull Pull up on the block and do the dance like crazy
This chick is hella hot but I know this chick crazy
If I think she not then that makes me crazy
We are both thots so we are both are crazy
Flexing always on my agenda
Your whole team retched your CEO is master splinter
Walking hit the Quan, and turn that gun into a member
Now my whole team flexing, I think we got a winner
People want to damp it up but they can't get none from it
I whip the jealous snap it up at least I have bum money
People wanna walk around me tryna steal my lingo
Just make sure when you talk about me you say he's doing his thing doe
Ba, Ba, Yea
Hit the Quan
Hit the Quan
Hit the Quan
Hit the Quan
I said get down low and swing your arm
I said get down low and hit the Quan
I'm finna show you how to
Hit the Quan
Hit the Quan
Hit the Quan
Hit the Quan
I said get down low and swing your arm
I said get down low and hit the Quan",1,0,0,0,0,0,0,0,
I Took a Pill in Ibiza (Remix),"Mike Posner, Seeb","I took a pill in Ibiza
To show Avicii I was cool
And when I finally got sober, felt ten years older
But fuck it, it was something to do
I'm living out in LA
I drive a sports car just to prove
I'm a real big baller 'cause I made a million dollars
And I spend it on girls and shoes
But you don't wanna be high like me
Never really knowing why like me
You don't ever wanna step off that roller coaster and be all alone
You don't wanna ride the bus like this
Never knowing who to trust like this
You don't wanna be stuck up on that stage singing
Stuck up on that stage singing
All I know are sad songs, sad songs
Darling, all I know are sad songs, sad songs
I'm just a singer who already blew his shot
I get along with old timers
'Cause my name's a reminder of a pop song people forgot
And I can't keep a girl, no
'Cause as soon as the sun comes up
I cut 'em all loose and work's my excuse
But the truth is I can't open up
Now you don't wanna be high like me
Never really knowing why like me
You don't ever wanna step off that roller coaster and be all alone
You don't wanna ride the bus like this
Never knowing who to trust like this
You don't wanna be stuck up on that stage singing
Stuck up on that stage singing
All I know are sad songs, sad songs
Darling, all I know are sad songs, sad songs
I took a plane to my home town
I brought my pride and my guitar
All my friends are all gone but there's manicured lawns
And the people still think I'm a star
I walked around downtown
I met some fans on Lafayette
They said tell us how to make it 'cause we're getting real impatient
So I looked 'em in the eye and said
You don't wanna be high like me
Never really knowing why like me
You don't ever wanna step off that roller coaster and be all alone
You don't wanna ride the bus like this
Never knowing who to trust like this
You don't wanna be stuck up on that stage singing
Stuck up on that stage singing
All I know are sad songs, sad songs
Darling, all that I know are sad songs, sad songs",0,0,0,0,1,1,0,0,
A Tale of 2 Citiez,J. Cole,"Since a youngin' always dreamed of gettin' rich
Look at me my nigga
Fantasize about a white picket fence
With some trees my nigga
Used to want a pathfinder with some tints
Thats all I need my nigga
Throw some 20's on that bitch and get it wrenched
But now I see my nigga
That the worlds a lot bigger ever since
Picked up the paper and they say my nigga Eddie caught a body, I'm convinced
Anybody is a killer, all you gotta do is push 'em to the limps
Fuck being timid in the Civic
Politicin' with the pushers and the pimps
I'm tryna write a story, can I get a glimpse?
Yeah can I get a glimpse?
Last night I had a bad dream
That I was trapped in this city
Then I asked is that really such a bad thing?
They robbin' niggas on the daily
Keep on blamin' nigga that ain't never had things
Guess not, last night they pulled up on my nigga at the light like
Uh, nice watch, run it
Hands in the air now, hands in the air, run it
Small town nigga Hollywood dreams
I know that everything that glitters ain't gold
I know the shits not always good as it seems
But tell me till you get it how could you know
How could you know? How could you know?
Listen up I'm about to go and get rich
Fuck with me my nigga
We gonna slug around the Ville and hit a lick
Cop some tree my nigga
And some powder, bag it up and make it flip
You gon' see my nigga
One day we gon' graduate and cop a brick
And that's the key my nigga
And listen up I'm bout to go and get rich
Stand back and watch if you want to nigga
Me I want my pockets fat about a bitch
Tired of seein' niggas flaunt, I wanna flaunt too nigga
Watch some rollers in the fuckin' Crown Vic
Tryna lock a nigga up, that's what they won't do nigga
Wanna know a funny thing about this shit?
Even if you let em' kill your dream it'll haunt you nigga
Last night I had a bad dream
That I was trapped in this city
Then I asked is that really such a bad thing?I
I look around like do you want to be another nigga
That ain't never had things
Guess not, last night we pulled up on my nigga at the light like
Uh, nice watch, run it
Hands in the air now, hands in the air, run it
Father forgive me for me, childish ways
I look outside and all the clouds are gray
I need your hands to take me, miles away
Your wish is my command, my command, my command, but
Before you go I've got to, want you now
Whatever goes up surely, must come down
And you get your piece but no peace, won't be found
So why just take me man, take me man, take me man
Your wish is my command, my command, my command",0,0,0,0,1,1,1,0,
G.O.M.D. ,J. Cole,"Hollywood Cole
Go
Ay Hollywood
Hollywood Cole
Go
You wanna know just where I'm at
Well let me tell you 'bout it
I put my city on the map
But let me tell you 'bout it
They tryna say I can't come back
Ay let me tell you 'bout it
Man fuck them nigga I come back
Ay let me tell you 'bout it
I wanna tell you 'bout it
Hands up, everybody run
Cole outside and he say he got a gun
Niggas like ""man that's what everybody say""
Go and pop the trunk and everybody dead
Everybody scared of the nigga
Aware that the nigga is better
All my bitches the pick of the litter
Never bitter
Niggas is faker than anime
Me I never hate, get cake like Anna Mae, woah
Eat the cake bitch, eat the damn cake
Fuck good nigga we demand great
Order Dominoes and she take off all her clothes
Nigga you know how it goes, make the pizza man wait
The best kept secret
Even hoes try and keep it and I leak the damn tape
Rest in peace any nigga want beef
Even secret service couldn't keep the man safe
I said to the window, to the wall
My nigga ride when I call
Got bitches all in my mind
Fuck nigga blocking my shine
I know the reason you feel the way
I know just who you wan' be
So everyday I thank the man upstairs
That I ain't you and you ain't me
Get off my dick, woah
(Get the fuck off my dick)
Get off my dick, woah
(Get the fuck off my dick nigga)
Get off my dick, bitch, woah
(Get the fuck off my dick)
Get off my dick, woah
Man fuck them niggas I come home and I don't tell nobody
They gettin' temporary dough and I don't tell nobody
Lord will you tell me if I changed, I won't tell nobody
I wanna go back to Jermaine, and I won't tell nobody
This is the part that the thugs skip
Young nigga never had love
You know, foot massage, back rub shit
Blowing bubbles in the bathtub shit
That is until I met you
Together we done watch years go by
Seen a river of your tears go by
Got me thinkin' bout some kids, still I
Tell them hoes come through
(The break up)
Get to know somebody and you learn a lot about 'em
When we long for you, start to doubt 'em
Tell yourself you better off without 'em
Then in time you will find can't walk without 'em
Can't talk without 'em, can't breath without 'em
Came here together, you can't leave without 'em
So you walk back in, make a scene about 'em
On your Amerie it's just 1 thing about 'em
It's called love
Niggas don't sing about it no more
Don't nobody sing about it no more
No more, no more
It's called love
Niggas don't sing about it no more
Don't nobody sing about it no more
(Nigga I don't sing about this shit no more)
But there a nigga in the club singing
To the window, to the wall
My nigga ride when I call
Got bitches all in my mind
Fuck nigga blocking my shine
I know the reason you feel the way
I know just who you wan' be
So everyday I thank the man upstairs
That I ain't you and you ain't me
Get off my dick
But ain't a nigga in the club singing
Singing this song yeah
Got all the bitches in the club singing
Singing this song yeah
And all they mamas let their kids sing it
Sing this song yeah
The baby mamas and the mistresses
Singing this song yeah
Song yeah, song song yeah
The make up
This shit is retarded
Why every rich black nigga gotta be famous
Why every broke black nigga gotta be brainless
That's a stereotype
Driven by some people up in Ariel Heights
Here's a scenario
Young Cole pockets is fat like little Terrio
Dreamville, give us a year we'll be on every show
Yeah fuck nigga I'm very sure
Fuck the rest I'm the best nigga out
When I'm back home I'm the best in the South
When I'm in LA I'm the best in the West
You can test, you can test, I'mma stretch niggas out
Ooh I'mma stretch niggas out
That go for all y'all if I left niggas out
This shit for everybody on my testicle
Please make sure you put the rest in your mouth, ho",0,0,0,0,1,1,1,1,
Ma cherie,"DJ Antoine, The Beat Shakers","When I look into your eyes
I see rainbows in the skies
Baby when you're close to me
I know you are ma Chérie
Ooh
We are gonna dance into the sea
All I want is you you're ma Chérie
Never seen a girl that so Jolie
All I want is you, you're ma Chérie
Ma Chérie ooh
Take my hand and come with me
When I look into your eyes
I see rainbows in the skies
Baby when you're close to me
I know you are ma Chérie
We are gonna dance into the sea
All I want is you you're ma Chérie
Never seen a girl that so Jolie
All I want is you, you're ma Chérie
Ma Chérie ooh
Take my hand and come with me
We are gonna dance into the sea
All I want is you you're ma Chérie
Never seen a girl that so Jolie
All I want is you, you're ma Chérie
Ma Chérie
We are gonna dance into the sea
All I want is you you're ma Chérie
Never seen a girl that so Jolie
All I want is you, you're ma Chérie
We are gonna dance into the sea
All I want is you you're ma Chérie
Never seen a girl that so Jolie
All I want is you, you're ma Chérie
Ma Chérie ooh
Take my hand and come with me",1,1,0,0,0,0,0,1,
All Hands on Deck (Remix),"Tinashe, Iggy Azalea","All hands on deck
All in front all in the back just like that, like that
I'mma blow your mind take it out on the floor like that, like that
All in the front all in the back just like that, like that
I'mma blow your mind like that
Wasted Heart
You took the last bit of love I've ever had
You took a good girl and you turned me oh so bad
Kiss your old bae good bye, she's dead and gone (dead and gone)
All hands on deck
All in front all in the back just like that, like that
I'mma blow your mind take it out on the floor like that, like that
All in the front all in the back just like that, like that
I'mma blow your mind like that
Wasted hard
Done this to death, do us apart
I watch you fold like a house of cards
Kiss the old me goodbye she's dead and gone, dead and gone, dead and gone
One by one, I watch you fall down, watch you fall like dominoes
Take no prisoners, search and destroy
Baby look at what you've done
One by one, I watch 'em go down, watch 'em fall like dominoes
Watch 'em go down, watch 'em go down, watch 'em go down
All hands on deck
All in front all in the back just like that, like that
I'mma blow your mind take it out on the floor like that, like that
All in the front all in the back just like that, like that
I'mma blow your mind like that
Iggs
Every night another city, different time zone
All I wanna do is get my shine on
Come and deal with Iggy, get your mind blown
New coupe, no roof, got the mind gone
Shittin' on you even when I play polite
These St. Laurent sneakers, I'm not wearing Nikes
I did it all, seen it all twice
Know I gotta get the money, early morning, late nights
Pull up in a S-Class, leave in the Wraith
Murder mommy in designer, know that murder be the case
Tell them hating bitches go and simmer down
I'ma get the paper 'bout as quick as word get around
Posters of me on the wall in your hubby house
What you getting, I been had it and don't want it now
Far as fashion and this rapping, I'm who run it now
Walkthroughs cost a hundred thou, young Iggy owww
And you know that I tried
Really gave my all
Everything we built
Baby you let it fall, you let it fall
And now you want me
Want me back now
And the thing that's so funny
Cause baby I'm long gone, I'm long gone
All hands on deck
All in front all in the back just like that, like that
I'mma blow your mind take it out on the floor like that, like that
All in the front all in the back just like that, like that
I'mma blow your mind like that
All hands on deck
All in front all in the back just like that, like that
I'mma blow your mind take it out on the floor like that, like that
All in the front all in the back just like that, like that
I'mma blow your mind like that",0,0,0,0,0,1,1,0,
All Night (Lyrics),"Icona Pop, Cash Cash","We always dreamed about this better life, this better life
We always thought we'd come in all along, yeah all along
We got the kiss, and walked through paradise, yeah paradise
Now let's go walking hand in hand
Come on baby we can hit the lights
Make the rooms go right
We can smash the floor, make the pop go raw
With a love this deep, we don't need no sleep
And it feels like we could do this all night
We could do this all night
Yeah everything is alright
We got the kiss, and walked through paradise, yeah paradise
It feels like, we could do this all night
Oh when the men under the summer skies, the summer skies
The seasons changed, our house will stay the same, yeah stay the same
We got that burning feeling, start a fire, start a fire
Giving a shout, let's make it hot
Come on baby we can hit the lights
Make the rooms go right
We can smash the floor, make the pop go raw
With a love this deep, we don't need no sleep
And it feels like we could do this all night
We could do this all night
Yeah everything is alright
We got the kiss, and walked through paradise, yeah paradise
It feels like, we could do this all night
Feels like, we could do this all night
All night, all night, all night, all night
Come on baby we can hit the lights
Make the rooms go right
We can smash the floor, make the pop go raw
With a love this deep, we don't need no sleep
And it feels like, we could do this all night
We could do this all night
We could do this all night
Yeah everything is alright
We got the kiss, and walked through paradise, yeah paradise
It feels like, we could do this all night",1,1,0,0,0,0,0,1,
Anthems,"Maddix, Newtown Knife Gang","So if we're going nowhere
Then it's a shame that we have lived
And if I had somewhere
I'd let you all have this
It's the same that I had
Once you leave it it's gone
Where did I go wrong
And if I had somewhere
I'd let you all have this
Cause tonight is
Cause tonight is
Cause tonight is
Cause tonight is
Cause tonight is
Take my hand let's get famous
Cause tonight is
Cause tonight is
Take my hand let's get famous
Cause tonight is all we have
So if we're going nowhere
Then it's a shame that we have lived
And if I had somewhere
I'd let you all have this
It's the same that I had
Once you leave it it's gone
Where did I go wrong
And if I had somewhere
I'd let you all have this
Cause tonight is
Cause tonight is
Cause tonight is
Cause tonight is
Cause tonight is
Take my hand let's get famous
Cause tonight is
Cause tonight is
Take my hand let's get famous
Cause tonight is all we have",0,0,0,0,1,0,0,1,
Buy My Love (Remix),"Wynter Gordon, Fareoh","Don't you hesitate to buy my love
I wanna spend your money,
Don't get me wrong.
Still gonna spend my money
I've got the funds.
Let's take a quick vacation,
A little shopping spree,
A fancy destination,
We'll spend it all on me
You could be my sugar daddy,
I call you my honey honey,
Blow the rent, the whole shebang on me
You know how to throw a party,
We can act like it's my birthday,
Lots of ways to make me smile
There's a million ways to show your devotion,
So many ways to sway my emotions
Ooh, ooh
Don't you hesitate to buy my love
Girls like chocolate, kisses, and roses,
We want jewels, gimme shoes, gimme romance,
Ooh, ooh.
Don't you hesitate to buy my love
I'm gonna let you spoil me, just for today.
Your time'll come I promise, you'll have your way.
No need to thank me baby, a credit card will do.
The love you show me, baby, is coming back to you.
You could be my sugar daddy,
I call you my honey honey,
Blow the rent the whole shebang on me
You know how to throw a party,
We can act like it's my birthday,
Lots of ways to make me smile.
There's a million ways to show your devotion,
So many ways to sway my emotions
Ooh, ooh
Don't you hesitate to buy my love
Love me, love me,
How much do you want me?
You can buy my love,
But you should try, try
There's a million ways to show your devotion,
So many ways to sway my emotions
Ooh, ooh
Don't you hesitate to buy my love
Girls like chocolate, kisses, and roses,
We want jewels, gimme shoes, gimme romance,
Ooh, ooh
Don't you hesitate to buy my love",1,0,0,0,0,0,0,1,
Anchor (Remix),"Tritonal, Noisestorm","If you’re lost
And feel like you’re alone
I’ll be the one to guide you home
You’ll never have far to go

When the waves
Are crashing against your heart
Winds blowing you out too far
No, you don’t have to row so hard

I’ll be your a-a a-a a-a anchor
I’ll be your anchor
A-a a-a a-a anchor
I’ll be your anchor

Anchor
Anchor
Anchor
Anchor
Anchor
Anchor
Anchor
Anchor
I’ll be your anchor

I’ll be your a-a a-a a-a anchor
I’ll be your anchor
A-a a-a a-a anchor
I’ll be your anchor
I’ll be your anchor

If you’re lost
And feel like you’re alone
I’ll be the one to guide you home
You’ll never have far to go

When the waves
Are crashing against your heart
Winds blowing you out too far
No, you don’t have to row so hard

I’ll be your a-a a-a a-a anchor
I’ll be your anchor
A-a a-a a-a anchor
I’ll be your anchor

Anchor
Anchor
Anchor
Anchor
Anchor
Anchor
Anchor
Anchor
I’ll be your anchor

I’ll be your a-a a-a a-a anchor
I’ll be your anchor
A-a a-a a-a anchor
I’ll be your anchor
I’ll be your anchor",0,1,0,0,0,0,0,0,
Apologize (Remix),"OneRepublic, Timbaland, FROIDZ, Bodybangers","I'm holdin' on a rope
Got me ten feet off the ground
I'm hearing what you say
But I just can't make a sound (Oh yea..)
They tell me that you mean it
Then you go and cut me down
But wait
You tell me that your sorry
Didn't think I'd turn around 
And say
That it's too late to apologize
It's too late
Said it's too late to apologize
It's too late
I take another chance, take a fall, take a shot from you
I need you like a heart needs a beat
It's not from you (Yeaaaa)
I loved you with a fire red and I was turnin' blue
And to say
Sorry like the angel
Heaven let me think was you
But I'm afraid
It's too late to apologize
It's too late
Said it's too late to apologize
It's too late
It's too late to apologize
It's too late
Said it's too late to apologize
It's too late
Said it's too late to apologize
It's too late
Said it's too late to apologize
It's too late
I'm holdin' on the rope
Got me ten feet off the ground",0,0,0,0,1,0,0,0,
Be Real,"Kid Ink, DeJ Loaf","You ain't got no whip, you ain't got no bottle
Let's just be honest, let's just be real
You ain't got no cash, you ain't got no dollas
You stay with that drama, let's just be real
Let's just be honest, let's just be real
Let's just be honest, let's just be real
Uh, just keep it real with ya
You the only nigga here feeling yourself
Walk in, them bitches start filming
They sittin' with a man, thotty ass still grinning, it's on
Honest, so hot, mind on a comet
Fast life sometimes feel like I'm in a comic
I don't give a fuck, bitch with or without a condom
Fat joke, pockets lean back like a recliner
I'm in this, representing West Side
Lotta people try to tell me I'm the next guy
Batgang, got it tatted by my left eye
Chain gang over here, no neck tie
Bitch you know I'm all about the business
From beginning to the ending never simpin', never slippin'
Sippin' P-A-T-R-O to the N
And if I'm in the building know it's complaints from the tenants
On the real
You could call anyone you want
I'ma kill 'em all, bet on it
Said we the only ones that stuntin' now
Let's just be real
Let's just be honest, let's just be real
Yeah let's just be honest, let's just be real
Let's just be honest, we all know the deal
So let's just be honest, let's just be real
Uh, slow down babe, it's enough, to go round back
Been drinkin' like you thirsty
How you make it to my section in the first place
Nah, I ain't trippin', shit is nada
They say it ain't trickin' if you got it
Bitch I'm a boss like Gotti
Rock Tom Ford and I still pop Molly
Roll up good Cali, ladeedadee
It's just me and all my hommies
At your door like the shining, egh
Feel like can't nobody stop me, I'm a hot nigga
And the bitch that I'm with know she hot stuff
Pull up in the hot wheels, ballin' get yo hops up
If you got a problem need a hotline
9-1-1 But we don't ever call the cops, for real
You could call anyone you want
I'ma kill 'em all, bet on it
Said we the only ones that stuntin' now
Let's just be real
Let's just be honest, let's just be real
Yeah let's just be honest, (let's just be real)
Let's just be honest, we all know the deal
So let's just be honest, let's just be (let's just be real)
Let's just be
Let's just be
Let's just be
Let's just be (let's just be, let's just be, let's just be)
Real
Let's just be",0,0,0,0,0,1,0,0,
